Comment,Description,Designator,Quantity,Fabricant,Fournisseur,RefFabricant,RefFournisseur

"100pF","Capacitor","C1, C2","2","","","",""
"0.1uF","Capacitor","C3, C6, C7","3","","","",""
"10uF","Capacitor","C4","1","","","",""
"100nF","Capacitor","C5","1","","","",""
"26pF","Capacitor","C8, C9","2","","","",""
"4.7uF","Capacitor","C10","1","","","",""
"1685021","Typical INFRARED GaAs LED","D1","1","ROHM","Farnell","SLR-342VR3FP","1685021"
"1685017","Typical INFRARED GaAs LED","D2","1","ROHM","Farnell","SLR-342MG3FP","1685017"
"UART","","J1","1","","","",""
"DEBUG","DEBUG","J2","1","","Farnell","",""
"1753809","USB_fem_2.0","J3","1","SAMTEC","Farnell","USBR-B-S-S-O-TH","1753809"
"1K","Resistor","R1, R3, R4","3","","","",""
"130R","Resistor","R2, R5","2","","","",""
"2468741","","S1","1","TE CONNECTIVITY / ALCOSWITCH","Farnell","1437566-3","2468741"
"2251359","IR Receiver","U1","1","Vishay","Farnell","TSOP38238","2251359"
"PIC32MX220F032B","","U2","1","Microchip","Farnell","PIC32MX220F032B-I/SO","2057069"
"1578379","","U3","1","Microchip","Farnell","MCP1824ST-3302E/DB","1578379"
"4MHz","Crystal Oscillator","Y1","1","CITIZEN FINETECH MIYOTA","Farnell","HCM49 4.000MABJ-UT","1611739"
